Job,Tool,a,b,ns/op
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28557606
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,27267699
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,26764026
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,26167021
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28484630
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,27388345
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28180082
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,27587135
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28807736
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28552430
 13928BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,32168182
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,31048771
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,27605604
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,32167715
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,27902572
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,28453872
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,27446098
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,28361161
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,28857653
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,29537084
 14595BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,40933146
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,39313164
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,36577038
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,38199967
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,35461527
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,34800281
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,35649225
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,34633213
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,33726333
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,34862097
 15718BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,139976944
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,137322415
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,135244512
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,135081313
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,126391119
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,142454924
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,140260034
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,137330012
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,151958405
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100k-13         ,Gonomics4Worker,1000,100000,136348081
 16088BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1507194880
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1045692808
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1175794963
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1204085285
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1248169312
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1128400781
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1213974911
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1063539219
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1182683443
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1mi-13          ,Gonomics4Worker,1000,1000000,1193316934
 16122BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,13574579286
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,12659272908
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10630460327
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10925255836
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10969161407
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10618877603
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,11099765300
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,12237335887
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,10554446671
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10mi-13         ,Gonomics4Worker,1000,10000000,13023739733
 16146BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21714601
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21901302
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,23460846
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,22123204
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21260207
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,22594950
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,21053263
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,25372055
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,25681007
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_100-13     ,Gonomics2Worker,1000,100,28390885
 15394BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,28401921
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,30081928
BenchmarkGonomicsA1kIntermediateThreadIntervalOverlap1k_1k-13      ,Gonomics2Worker,1000,1000,29924678
