Job,Tool,a,b,memUsage
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,13296
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12576
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12689
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12648
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12672
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12616
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12573
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12556
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12573
BenchmarkGonomicsIntervalOverlapMem100_100-13          ,Gonomics4Worker,100,100,12577
 12583BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12538
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12542
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12533
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12499
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12488
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12460
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12436
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12460
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12464
BenchmarkSingleThreadIntervalOverlapMem100_100-13      ,Gonomics1Worker,100,100,12479
 12475BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12475
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12412
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12339
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12279
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12236
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12193
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12148
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12147
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12137
BenchmarkBedtoolsIntervalOverlapMem100_100-13          ,Bedtools,100,100,12127
 12125BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,12125
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,12110
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,12104
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,12102
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,12093
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,12041
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,11944
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,11892
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,11854
BenchmarkBedopsSortAMem100_100-13                      ,BedopsSortA,100,100,11817
 11816BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11800
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11774
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11764
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11747
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11733
BenchmarkBedopsSortBMem100_100-13                      ,BedopsSortB,100,100,11722
