Job,Tool,a,b,ns/op,memUsage
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28557606,13855
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,27267699,13842
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,26764026,13900
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,26167021,13828
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28484630,13793
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,27388345,13853
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28180082,13853
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,27587135,13842
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28807736,13849
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_100-13          ,Gonomics4Worker,1000,100,28552430,13924
 13928BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,32168182,14080
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,31048771,14218
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,27605604,14327
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,32167715,14391
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,27902572,14441
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,28453872,14490
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,27446098,14514
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,28361161,14543
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,28857653,14571
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_1k-13           ,Gonomics4Worker,1000,1000,29537084,14593
 14595BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,40933146,14745
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,39313164,14876
BenchmarkGonomicsA1kOptimalThreadIntervalOverlap1k_10k-13          ,Gonomics4Worker,1000,10000,36577038,14965
