File	Cutoff	TPR	FPR
5%	1.000000	1.00000	1.00000
5%	1.000000	1.00000	1.00000
5%	0.900000	1.00000	0.86873
5%	0.810000	1.00000	0.86873
5%	0.729000	1.00000	0.86387
5%	0.656100	1.00000	0.85094
5%	0.590490	1.00000	0.81084
5%	0.531441	1.00000	0.79223
5%	0.478297	1.00000	0.65126
5%	0.430467	1.00000	0.61664
5%	0.387420	1.00000	0.59713
5%	0.348678	1.00000	0.53292
5%	0.313811	1.00000	0.45812
5%	0.282430	1.00000	0.41588
5%	0.254187	1.00000	0.38380
5%	0.228768	1.00000	0.33619
5%	0.205891	1.00000	0.30164
5%	0.185302	1.00000	0.26434
5%	0.166772	1.00000	0.23337
5%	0.150095	1.00000	0.21447
5%	0.135085	1.00000	0.19508
5%	0.121577	1.00000	0.16797
5%	0.109419	1.00000	0.14123
5%	0.098477	1.00000	0.12181
5%	0.088629	1.00000	0.11017
5%	0.079766	1.00000	0.10317
5%	0.071790	1.00000	0.09612
5%	0.064611	1.00000	0.08197
5%	0.058150	1.00000	0.06414
5%	0.052335	1.00000	0.05402
5%	0.047101	1.00000	0.05009
5%	0.042391	1.00000	0.04765
5%	0.038152	1.00000	0.04416
5%	0.034337	1.00000	0.03791
5%	0.030903	1.00000	0.03009
5%	0.027813	1.00000	0.02433
5%	0.025032	1.00000	0.02170
5%	0.022528	1.00000	0.02041
5%	0.020276	1.00000	0.01878
5%	0.018248	1.00000	0.01654
5%	0.016423	1.00000	0.01377
5%	0.014781	1.00000	0.01108
5%	0.013303	1.00000	0.00925
5%	0.011973	1.00000	0.00822
5%	0.010775	1.00000	0.00751
5%	0.009698	1.00000	0.00676
5%	0.008728	1.00000	0.00586
5%	0.007855	1.00000	0.00482
5%	0.007070	1.00000	0.00388
5%	0.006363	1.00000	0.00326
5%	0.005726	1.00000	0.00287
5%	0.005154	1.00000	0.00261
5%	0.004638	1.00000	0.00234
5%	0.004175	1.00000	0.00196
5%	0.003757	1.00000	0.00159
5%	0.003381	1.00000	0.00129
5%	0.003043	1.00000	0.00107
5%	0.002739	1.00000	0.00094
5%	0.002465	1.00000	0.00083
5%	0.002219	1.00000	0.00072
5%	0.001997	1.00000	0.00058
5%	0.001797	1.00000	0.00047
5%	0.001617	1.00000	0.00039
5%	0.001456	1.00000	0.00033
5%	0.001310	1.00000	0.00027
5%	0.001179	1.00000	0.00024
5%	0.001061	1.00000	0.00019
5%	0.000955	1.00000	0.00016
5%	0.000860	1.00000	0.00013
5%	0.000774	1.00000	0.00010
5%	0.000696	1.00000	0.00009
5%	0.000627	1.00000	0.00007
5%	0.000564	1.00000	0.00006
5%	0.000508	1.00000	0.00005
5%	0.000457	1.00000	0.00004
5%	0.000411	1.00000	0.00003
5%	0.000370	1.00000	0.00003
5%	0.000333	1.00000	0.00002
5%	0.000300	1.00000	0.00002
5%	0.000270	1.00000	0.00002
5%	0.000243	1.00000	0.00001
5%	0.000218	1.00000	0.00001
5%	0.000197	1.00000	0.00001
5%	0.000177	1.00000	0.00001
5%	0.000159	1.00000	0.00001
5%	0.000143	1.00000	0.00000
5%	0.000129	1.00000	0.00000
5%	0.000116	1.00000	0.00000
5%	0.000104	1.00000	0.00000
5%	0.000000	0.00000	0.00000
2.5%	1.000000	1.00000	1.00000
2.5%	1.000000	1.00000	1.00000
2.5%	0.900000	1.00000	0.86873
2.5%	0.810000	1.00000	0.86873
2.5%	0.729000	1.00000	0.86380
2.5%	0.656100	1.00000	0.85091
2.5%	0.590490	1.00000	0.81064
2.5%	0.531441	1.00000	0.79204
2.5%	0.478297	1.00000	0.65117
2.5%	0.430467	1.00000	0.61651
2.5%	0.387420	1.00000	0.59710
2.5%	0.348678	1.00000	0.53293
2.5%	0.313811	1.00000	0.45807
2.5%	0.282430	1.00000	0.41572
2.5%	0.254187	1.00000	0.38366
2.5%	0.228768	1.00000	0.33648
2.5%	0.205891	1.00000	0.30186
2.5%	0.185302	1.00000	0.26454
2.5%	0.166772	1.00000	0.23359
2.5%	0.150095	1.00000	0.21468
2.5%	0.135085	1.00000	0.19523
2.5%	0.121577	1.00000	0.16819
2.5%	0.109419	1.00000	0.14152
2.5%	0.098477	1.00000	0.12178
2.5%	0.088629	0.99900	0.11033
2.5%	0.079766	0.99900	0.10344
2.5%	0.071790	0.99800	0.09643
2.5%	0.064611	0.99800	0.08214
2.5%	0.058150	0.99700	0.06430
2.5%	0.052335	0.99700	0.05398
2.5%	0.047101	0.99700	0.05001
2.5%	0.042391	0.99700	0.04761
2.5%	0.038152	0.99700	0.04413
2.5%	0.034337	0.99700	0.03792
2.5%	0.030903	0.99700	0.03013
2.5%	0.027813	0.99700	0.02433
2.5%	0.025032	0.99700	0.02177
2.5%	0.022528	0.99600	0.02040
2.5%	0.020276	0.99300	0.01880
2.5%	0.018248	0.99100	0.01655
2.5%	0.016423	0.98900	0.01379
2.5%	0.014781	0.98900	0.01106
2.5%	0.013303	0.98800	0.00919
2.5%	0.011973	0.98500	0.00816
2.5%	0.010775	0.98400	0.00749
2.5%	0.009698	0.98400	0.00675
2.5%	0.008728	0.98400	0.00584
2.5%	0.007855	0.98300	0.00484
2.5%	0.007070	0.98300	0.00392
2.5%	0.006363	0.98100	0.00327
2.5%	0.005726	0.98100	0.00285
2.5%	0.005154	0.97800	0.00262
2.5%	0.004638	0.97700	0.00234
2.5%	0.004175	0.97600	0.00197
2.5%	0.003757	0.97400	0.00161
2.5%	0.003381	0.97400	0.00130
2.5%	0.003043	0.97200	0.00108
2.5%	0.002739	0.97100	0.00095
2.5%	0.002465	0.96800	0.00085
2.5%	0.002219	0.96400	0.00073
2.5%	0.001997	0.96100	0.00059
2.5%	0.001797	0.95800	0.00049
2.5%	0.001617	0.95400	0.00040
2.5%	0.001456	0.95200	0.00035
2.5%	0.001310	0.95100	0.00029
2.5%	0.001179	0.94800	0.00025
2.5%	0.001061	0.94800	0.00020
2.5%	0.000955	0.94500	0.00016
2.5%	0.000860	0.94300	0.00013
2.5%	0.000774	0.93600	0.00010
2.5%	0.000696	0.93300	0.00009
2.5%	0.000627	0.92800	0.00008
2.5%	0.000564	0.92600	0.00007
2.5%	0.000508	0.92300	0.00006
2.5%	0.000457	0.91900	0.00005
2.5%	0.000411	0.91300	0.00004
2.5%	0.000370	0.90700	0.00003
2.5%	0.000333	0.90000	0.00002
2.5%	0.000300	0.89600	0.00002
2.5%	0.000270	0.89400	0.00001
2.5%	0.000243	0.88800	0.00001
2.5%	0.000218	0.88200	0.00001
2.5%	0.000197	0.87500	0.00001
2.5%	0.000177	0.86500	0.00000
2.5%	0.000159	0.86100	0.00000
2.5%	0.000143	0.85600	0.00000
2.5%	0.000129	0.84900	0.00000
2.5%	0.000116	0.84000	0.00000
2.5%	0.000104	0.83700	0.00000
2.5%	0.000000	0.00000	0.00000
1%	1.000000	1.00000	1.00000
1%	1.000000	0.94600	1.00005
1%	0.900000	0.94500	0.86893
1%	0.810000	0.94500	0.86893
1%	0.729000	0.94500	0.86403
1%	0.656100	0.94500	0.85117
1%	0.590490	0.94400	0.81079
1%	0.531441	0.94400	0.79216
1%	0.478297	0.94300	0.65148
1%	0.430467	0.94000	0.61683
1%	0.387420	0.93900	0.59732
1%	0.348678	0.93800	0.53306
1%	0.313811	0.93400	0.45851
1%	0.282430	0.92600	0.41630
1%	0.254187	0.92200	0.38398
1%	0.228768	0.91300	0.33643
1%	0.205891	0.90600	0.30189
1%	0.185302	0.89700	0.26457
1%	0.166772	0.89000	0.23353
1%	0.150095	0.88300	0.21476
1%	0.135085	0.87300	0.19517
1%	0.121577	0.86000	0.16819
1%	0.109419	0.85300	0.14152
1%	0.098477	0.83900	0.12181
1%	0.088629	0.82700	0.11030
1%	0.079766	0.81000	0.10339
1%	0.071790	0.79900	0.09642
1%	0.064611	0.78300	0.08218
1%	0.058150	0.76300	0.06426
1%	0.052335	0.75300	0.05402
1%	0.047101	0.73400	0.05009
1%	0.042391	0.72400	0.04772
1%	0.038152	0.70100	0.04420
1%	0.034337	0.68400	0.03794
1%	0.030903	0.67100	0.03012
1%	0.027813	0.64200	0.02438
1%	0.025032	0.62700	0.02182
1%	0.022528	0.60500	0.02045
1%	0.020276	0.58900	0.01880
1%	0.018248	0.57400	0.01649
1%	0.016423	0.55700	0.01378
1%	0.014781	0.53100	0.01105
